job_role,company,title,skills
서버 개발자,테크타카(ARGO),Software Engineer (Backend)_신입,"['Kotlin', 'Java', 'SQL']"
서버 개발자,두나무(업비트/증권플러스),Backend Engineer_블록체인 기반 서비스 개발,"['AWS', 'Redis', 'Spring Boot', 'TypeScript', 'Spring', 'Ruby on Rails', 'MySQL']"
서버 개발자,채널코퍼레이션,[채널톡] Software Engineer,"['Golang', 'AWS', 'React', 'Java', 'Docker', 'Kotlin', 'Go', 'Python']"
서버 개발자,주드라,서버 엔지니어,"['AWS', 'Redis', 'Spring Boot', 'PostgreSQL', 'Java', 'Docker', 'Spring']"
서버 개발자,커넥트웨이브,[다나와개발본부] Backend Engineer (4년 이하),"['JPA', 'Django', 'Java', 'Flask', 'Spring', 'Kotlin', 'FastAPI', 'Python']"
서버 개발자,마드라스체크,SaaS개발부 웹서버개발자,"['Node.js', 'PostgreSQL', 'Java', 'JavaScript', 'MySQL']"
서버 개발자,팀42,[마피아42] 서버 개발자,"['Kotlin', 'Java', 'MySQL']"
서버 개발자,메이크스타,Software Engineer,"['Flutter', 'Vue.js', 'Django', 'Nuxt.js', 'GCP', 'Java', 'Spring', 'Kotlin', 'FastAPI', 'Python']"
서버 개발자,위시스트,백엔드 개발자,"['AWS', 'FastAPI', 'SQL', 'MySQL', 'Python']"
서버 개발자,테서,백엔드 엔지니어,"['AWS', 'Nest.js', 'SQL', 'Node.js', 'PostgreSQL', 'TypeScript', 'Docker', 'Git']"
서버 개발자,코딧(CODITCorp.),[인턴] [SW] 백엔드 개발자,"['Node.js', 'JavaScript']"
서버 개발자,메디쿼터스,[일본 커머스 플랫폼 누구(nugu)] 데이터 엔지니어,"['PostgreSQL', 'Power BI']"
서버 개발자,화이트큐브,[인턴][챌린저스] 백엔드 개발자,"['Golang', 'Java', 'Go', 'Python']"
서버 개발자,플리더스,백엔드 개발자,"['Java', 'MySQL', 'JPA']"
서버 개발자,런업,"[인턴] DBA 개발자 (postgreSQL,oracle)","['GCP', 'AWS', 'SQL']"
서버 개발자,코드비전,"[인턴] 프론트엔드, 백엔드 개발자","['Git', 'React', 'Node.js', 'PostgreSQL', 'TypeScript', 'MySQL', 'Python']"
서버 개발자,바카티오(Vacatio),Backend Engineer,"['AWS', 'MongoDB', 'Redis', 'Node.js', 'Docker']"
서버 개발자,컨포트랩,Software Engineer (~6년),"['AWS', 'React', 'Spring Boot', 'Next.js', 'Spring', 'Kotlin', 'Kubernetes', 'Python']"
서버 개발자,세나클,Backend Server 개발(병역특례/산업기능요원/보충역/전직),"['Spring', 'Kubernetes', 'Git']"
